,entity,summary,headline
175,BA,"laden Air India has grounded as many as 19 aircraft, including nine Airbus A321, due to want of spares, resulting in a significant loss of revenue to the carrier besides flight cancellations, one of its pilots' body has alleged.Besides, there...,,,,,,",Air India grounds 19 aircrafts due to lack of spares: ICPADebt
176,KMX,nan,"CarMax beats by $0.09, beats on revenue"
177,EMN,"Strong Q4 results and upbeat outlook are driving Eastman Chemical's (EMN) shares.,,,,,,",Eastman Chemical Hits New 52Week High on Upbeat Prospects
178,GOOGL,"suspecting shots of baby and pets.,,,,,,","Google Clips camera, aimed at parents, can't compete with GoProOdd, $250 camera is meant to snap un"
179,WMB,"A FERC tax warning could push it to take out its MLP and maybe boost its stock.,,,,,,",Time for Williams Cos. to Round Up Its Partners
180,AVB,nan,Schwab Brings You REITs On Sale
181,RJF,"Raymond James's Ric Prentiss got even more bullish about T-Mobile on Friday, dismissing concerns about its low forecast for subscriber growth, and arguing it has increasing strategic value as it builds out its network.,,,,,,",TMobile The ‘Prettiest Girl at the Dance’ Quips Raymond James
182,DGX,"Tough competitive landscape and reimbursement issues are major deterrents to Quest Diagnostics' (DGX) top line in the near term. The company's focus on promising areas to drive growth is a positive.,,,,,,",Here's Why You Should Hold On to Quest Diagnostics (DGX) Now
183,MCHP,"Pullbacks in technology stocks mean a range of opportunities for investors—none bigger than Microchip Technology, according to new research.,,,,,,",A Chip Stock That Could Double and 11 More Tech Picks
184,IP,"time headline. These are breaking news, delivered the minute it happens, delivered ticker-tape style. Visit www.marketwatch.com or the quote page for more information about this breaking news.,,,,,,",Smurfit Kappa soars 19% after rejecting International Paper approachThis is a Real
185,CRM,"- Firepoint Solutions, the Sopris backed CRM and lead generation system for residential real estate agen...,,,,,,","Sopris Capital Appoints Bud Rosenthal as New CEO of Firepoint SolutionsSopris Capital Appoints Bud Rosenthal as New CEO of Firepoint Solutions PR Newswire DENVER, Oct. 18, 2018 DENVER , Oct. 18, 2018 /PRNewswire/ "
186,DAL,"Among the underlying components of the S amp P 500 index we saw noteworthy options trading volume today in VF Corp Symbol VFC where a total of 16 505 contracts have traded so far representing approximately 1 7 million underlying shares That amount...,,,,,,","Noteworthy Tuesday Option Activity: VFC, DAL, HD"
187,XRAY,"Goldman Sachs raises its price target for Netflix shares, citing the company's content strength.,,,,,,","Goldman Sachs gets even more bullish on highflyer Netflix, predicting big subscriber gains"
188,UA,nan,Under Armour's Q1 Shows The Main Fundamental Problems Remain
189,GPS,nan,Nifty likely to open gap down by 11 points: Dynamic Levels
190,CBS,"A North Carolina woman ordered pizza from Domino's on Monday night. She was shocked and disturbed to find that the N-word was written on her order. The employee who wrote the slur has since been fired. The store's supervisor also apologized to her...,,,,,,",A Domino's employee was fired after writing the Nword on a customer's pizza order
191,RJF,"The vast global supply chain of chips makes it hard to imagine a direct impact from tariffs, though the imagined effects of any extreme moves could be ""mutually assured destruction"" for the U.S. and China, writes Raymond James analyst Chris Caso.,,,,,,","Global Web of Chip Supply Limits Tariff Risk, Says Raymond James"
192,CERN,"Spectrum Health selects Cerner's (CERN) Cerner Integrated Platform to treat psychological disorders.,,,,,,",Cerner Integrated Platform Implemented by Spectrum Health
193,AMP,nan,Notable earnings after Tuesday’s close
194,COST,"NA,,,,,,",Tracking Ken Fisher's Fisher Asset Management Portfolio  Q1 2018 Update
195,SJM,nan,Market Caution Amid Political Worries (Wall Street Breakfast Podcast)
196,D,"Dominion Energy (D) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,,,,,,",Why Is Dominion Energy (D) Down 1.5% Since its Last Earnings Report?
197,BLK,nan,Wall Street Breakfast: Get Ready For 'Super Thursday'
198,HUM,"Some of the stocks that may grab investor focus today are: Wall Street expects Humana Inc. (NYSE: HUM) to report quarterly earnings at $3.78 per share on ...,,,,,,","12 Stocks To Watch For August 1, 2018"
199,ANTM,"Anthem (ANTM) reported earnings 30 days ago. What's next for the company? We take a look at earnings estimates for some clues.,,,,,,",Anthem (ANTM) Up 7% Since Last Earnings Report: Can It Continue?
200,CB,nan,Florence death toll rises to 11
201,FL,"NA,,,,,,",Don't Worry About The Fed  Cramer's Mad Money (9/26/18)
202,NUE,nan,Nucor Sees Further Growth Acceleration
203,GLW,nan,Corning: Market Turmoil Creates A Perfect Entry Point For This Long Runway Growth Company
204,SRE,"based energy services company said cur...,,,,,,","Sempra Energy CEO Debra Reed to step down after 7 years in the roleSempra Energy said Monday Chief Executive Debra Reed will step down as CEO on May 1, but will remain as executive chairman until she retires on Dec. 1, 2018 after over 40 years with the company. The San Diego"
205,FDX,"Shares of UPS were down Monday morning following Amazon's announcement last week that it would launch its own shipping service.  UPS and FedEx fell on the news Friday, and UPS' stock was down on Monday as well.  Amazon has made several moves in th...,,,,,,","UPS keeps sliding after Amazon's entry into the shipping business (UPS, FDX, AMZN)"
206,BAX,"Zacks.com highlights: Baxter International, Copart, Applied Materials and Steel Dynamics,,,,,,","Zacks.com highlights: Baxter International, Copart, Applied Materials and Steel Dynamics"
207,RTN,"Raytheon's (RTN) bookings surged 33.1% year over year during the quarter to $8.7 billion.,,,,,,",Raytheon Company (RTN) Tops Q2 Earnings & Revenue Estimates
208,SYK,"Stryker (SYK) announces the commercial launch of Cobra, its new reusable passing (needle) technology for use in rotator cuff surgery. The product features ,,,,,,",Stryker launches new suture passing technology for rotator cuff repair
209,SEE,nan,Sealed Air selects Stiehl as new CFO
210,KO,"NA,,,,,,","5 Dividend Increases: June 48, 2018"
211,EXC,"Exelon Corporation (EXC) is expected to beat earnings expectations in fourth quarter thanks to new rates and its ongoing investments to strengthen infrastructure.,,,,,,",Will Rate Hikes Help Exelon (EXC) to Beat Earnings in Q4?
212,SYY,"saving and revenue-management efforts. These have been driving its performance for a while now.,,,,,,","Will U.S. Foodservice Unit Drive Sysco (SYY) Q2 Earnings?In 2Q18, we expect Sysco (SYY) to continue gaining from its focus on buyouts, along with its cost"
213,AMP,"Dividends are one of the best benefits to being a shareholder, but finding a great dividend stock is no easy task. Does Ameriprise Financial Services (AMP) have what it takes? Let's find out.,,,,,,",Is Ameriprise Financial Services (AMP) a HighGrowth Dividend Stock?
214,PCAR,nan,PACCAR declares $0.28 dividend
215,RJF,"Chris Caso, Raymond James managing director, weighs in on Apple’s iPhone sales and supply outlook.,,,,,,","Apple’s trying to find balance on iPhone pricing, says expert"
216,APA,"NA,,,,,,",Apache (APA) Presents At The 2018 MIDSTREAM Texas  Slideshow
217,NFLX,"The streaming giant now has a market cap of $146 billion. By comparison, entertainment giant The Walt Disney Co. has a market cap of $154 billion.,,,,,,",Netflix stock hits another alltime high after subscriber surge
218,IDXX,"NA,,,,,,",IDEXX Laboratories (IDXX) Investor Presentation  Slideshow
219,UTX,nan,United Technologies deal for Rockwell Collins gets EU antitrust approval
220,WFC,nan,The Buyback Bubble Will End Badly
221,BWA,"It was a week that saw major auto companies undertaking initiatives to enhance their position in the pickup segment as well as planning to lower sedan ...,,,,,,","BorgWarner Inc. (NYSE:BWA), Ford Motor Company (NYSE:F)  Auto Stock Roundup: Pickup Demand Up, Tesla To Lower Norway Delivery And More"
222,HPQ,"* HP INC - PRICED CASH TENDER OFFER TO PURCHASE OUTSTANDING DEBT SECURITIES OF HP UP TO COMBINED AMOUNT OF NOTES EQUAL TO ABOUT $1.85 BILLION Source text for Eikon: Further company coverage:,,,,,,",BRIEFHP Inc. Announces Pricing For Its Cash Tender Offer
223,AIG,nan,"Toys, toys, toys at the North American International Toy Fair"
224,KORS,"Legendary investor Warren Buffett advises to be fearful when others are greedy and be greedy when others are fearful One way we can try to measure the level of fear in a given stock is through a technical analysis indicator called the Relative Str...,,,,,,",Michael Kors Holdings Enters Oversold Territory (KORS)
225,APH,"NA,,,,,,",Healthcare  Top 5 Gainers / Losers as of 11:00 AM (04/10/2018)
226,HOG,"As Harley-Davidson's core demographic ages out, the motorcycle company tries to attract younger riders. The company focuses on building the next generation of riders, not just motorcycles.,,,,,,",HarleyDavidson tries to regain its coolness factor
227,CA,"Stocks Analysis by Investing.com (Haris Anwar/Investing.com) covering: Dow Jones Industrial Average, Apple Inc, CA Inc, Broadcom Inc. Read Investing.com (Haris Anwar/Investing.com)'s latest article on Investing.com,,,,,,","3 Stocks To Watch This Coming Week: Apple, Tencent, Broadcom"
228,MO,"NA,,,,,,",Tracking Yacktman Asset Management Portfolio  Q2 2018 Update
229,MCO,"Monaco Hires Former Square Chief Compliance Officer Stanley Lam Underlines ... Full story available on Benzinga.com,,,,,,",Monaco Hires Former Square Chief Compliance Officer Stanley Lam
230,PEP,"NA,,,,,,",My Dividend Growth Portfolio  Q1 2018 Summary
231,SCG,nan,Retire In 12 Years With $200K? It's Not As Crazy As It Sounds
232,ADP,"NA,,,,,,",Automatic Data Processing (ADP) Q4 2018 Results  Earnings Call Transcript
233,AIG,"NA,,,,,,",Top 10 Net Payout Yields  June 2018
234,HD,nan,Dividend Sensei's Portfolio Update 38: Why The Stock Market Might Soar 22% In The Next 18 Months And Then Crash 50%
235,WFC,"Wells Fargo joined a growing list of banks banning the purchase of cryptocurrencies like bitcoin on credit cards but has bucked the trend on restricting purchases of firearms.,,,,,,","Wells Fargo customers can still buy guns with a credit card, but not bitcoin"
236,ATVI,"Activision Blizzard (ATVI) is including a battle royale (BR) game mode called ""Blackout"" in the highly anticipated Call of Duty: Black Ops 4 game that is set to release on Oct 12.,,,,,,",Activision Blizzard (ATVI) Brings BRMode to COD: Black Ops 4
237,AKAM,"NA,,,,,,",Akamai Technologies (AKAM) Q4 2017 Results  Earnings Call Transcript
238,CMI,nan,10 Dividend Growth Stocks For September 2018
239,CTAS,"quarter fiscal 2019 performance.,,,,,,","Cintas (CTAS) to Report Q1 Earnings: What's in the Offing?The G&K Services acquisition, stellar demand for innovative products and effective ERP implementation likely to drive Cintas' (CTAS) first"
240,KMB,"The Nifty Private Bank index was trading 0.09 per cent up at 14,925 around 10:30 am.,,,,,,","Stock market update: Private bank stocks mixed; Kotak Mahindra Bank up, but IndusInd Bank down"
241,PHM," Earnings Call Slides-NA,,,,,,","PulteGroup, Inc. 2018 Q1  Results "
242,WMT,"In its race to catch Amazon.com Inc. in online retailing, Walmart Inc. issued misleading e-commerce results and fired an executive who complained the company was breaking the law, according to a whistle-blower lawsuit. Walmart shares fell as much ...,,,,,,",Walmart WhistleBlower Claims Cheating in Race With Amazon
243,JBHT,nan,Credit Suisse positive on J.B Hunt Transport
244,KMB,"Bilbao, Spain, Sept. 06, 2018 (GLOBE NEWSWIRE) -- Cancer informatics and digital pathology workflow solution provider Inspirata ® Europe, Ltd. announced today that it will be an active participant at the upcoming European Congress of Pathology (EC...,,,,,,","Inspirata to Demonstrate the Omnyx® Dynamyx™ Digital Pathology Software Suite at European Congress of Pathology 2018 in Bilbao, Spain September 911"
245,FDX,"hauler plans to add 12 of Boeing’s medium-size 767 freighters and 12 of the larger 777 cargo...,,,,,,",Boeing Lands $6.6 Billion FedEx DealBoeing Co. landed a deal for 24 cargo aircraft from FedEx Corp. worth $6.6 billion as the revival in the air freight market continues to grow. The package
246,AJG,"Arthur J. Gallagher (AJG) boosts its inorganic growth profile at a regular pace, this time with Wheatman Insurance buyout.,,,,,,",Arthur J. Gallagher's Buyout to Solidify California Foothold
247,MS,"NA,,,,,,",Wells Fargo tied to gunmakers  Bloomberg
248,GOOGL,"[Updates with stock price change at bottom of story.]  Alphabet (GOOGL) this afternoon reported Q1 revenue and profit that easily topped analysts’ expectations, sending its shares higher in late trading initially, though it later gave up gains.  A...,,,,,,",Alphabet Earnings: Stock Slips Despite Revenue Beat
249,AMD,"Advanced Micro Devices, Inc. (NASDAQ: AMD) shares were up Monday after the company announced the launch of two chips chips meant to power gaming ...,,,,,,",A Look at AMD (NASDAQ:AMD)'s New Gaming APUs
250,FLIR,"mounted case, that holds several tiny surveillance drones to help soldiers and first responders to gauge their surroundings without exiting vehicles.,,,,,,",FLIR launches new system for surveillance dronesFLIR Systems Inc on Monday launched a vehicle
